#問	正解	主題
1	4	古代エジプト・オリエント（シャープール1世とホスロー1世の入れ替え）
2	3	ポリスの成立とアクロポリス
3	4	ローマ身分闘争（ディクタトル＝独裁官／護民官）
4	1	カラカラ帝のアントニヌス勅令・ディオクレティアヌスの四帝分治
5	4	ローマの多神教とキリスト教の一神教／ニケーア公会議アタナシウス派
6	2	ウェルギリウス『アエネイス』／アウグスティヌスは教父
7	3	アケメネス朝・アレクサンドロス大王
8	4	ペロポネソス戦争
9	2	インダス文明（シュメール・マヤ／インダス文字未解読）
10	3	ヴァルナ制・アショーカ王・イクター制・カニシカ王
11	3	『エリュトゥラー海案内記』は1世紀のギリシア人
12	4	仏教の中国伝来・法顕『仏国記』
13	1	殷の青銅器と甲骨文字
14	1	項羽と争った劉邦（農民出身）
15	1	武帝の対外政策（衛氏朝鮮・南越・塩鉄酒の専売）
16	3	スキタイと匈奴
17	4	シュメールの太陰暦／ハンムラビ王はアムル人
18	1	アッカド人サルゴン1世のメソポタミア統一
19	4	イスラエル王国とユダ王国
20	2	クフ王のギザの大ピラミッド（古王国）
21	1	マムルーク朝の都カイロ・カーリミー商人
22	1	カピチュレーション・ティマール制から徴税請負制へ
23	2	両聖都＝メッカとメディナ
24	1	スレイマン1世・プレヴェザの海戦
25	1	宋の文治主義（節度使の解体）
26	3	澶淵の盟で宋が贈ったのは銀と絹
27	3	王安石の新法（青苗法・市易法・募役法・保甲法）
28	3	臨安＝南宋の首都
29	4	マテオ=リッチ「坤輿万国全図」
30	2	倭寇の頭目王直／王建は高麗の建国者
31	1	スペインのアカプルコ貿易（ボリビア・メキシコの銀→マニラ→中国）
32	4	乾隆帝1757年 広州一港・行商
33	4	カルヴァン派の地域別呼称／ジュネーヴとチューリヒ
34	4	カルロス1世の退位とフェリペ2世／ユトレヒト同盟
35	4	アンボイナ事件後イギリスはインド支配へ
36	1	三十年戦争（旧教国フランスが新教側で参戦）
37	3	ウェストファリア条約＝「ドイツ帝国の死亡診断書」
38	2	コモンウェルス／権利の章典はウィリアム3世・メアリ2世
39	3	アメリカ独立宣言1776年7月4日
40	4	1791年憲法は立憲君主政・制限選挙／テルミドールの反動
41	2	ポルトガルのアジア進出・種子島・ザビエル／スペインに東インド会社なし
42	1	出島・オランダ商館・カピタン・オランダ風説書／通信使は朝鮮
43	2	インド産綿織物＝キャラコ
44	2	ワットの蒸気機関・交通革命／電力化は第2次産業革命
45	3	アヘンの密輸とアヘン戦争
46	2	南京条約（5港開港・香港島）／二十一か条は1915年
47	4	日米和親条約（下田・箱館、領事駐在、片務的最恵国待遇）
48	2	3C政策（カイロ・ケープタウン・カルカッタ）
49	4	縦断政策と横断政策／ファショダ事件
50	1	フランス領インドシナ（阮朝ベトナム）
51	3	ワシントン海軍軍備制限条約 主力艦の比率
52	3	II(ロシア革命1917)→I(シベリア出兵1918)→III(五カ年計画)
53	3	ムッソリーニのローマ進軍1922／ヒトラー内閣1933
54	2	ドイツの激しいインフレ（物価は上昇）
55	1	レンテンマルクとドーズ案
56	1	ニューディール＝アメリカ／五カ年計画＝ソ連
57	1	全権委任法（国家総動員法は日本）
58	2	再軍備・ラインラント進駐・ミュンヘン会談
59	3	柳条湖事件（張作霖爆殺は1928年）
60	1	満洲国建国・五・一五事件・斎藤実内閣
