#年度	大問	問	導いた正解	確度	根拠
令和5	1	1	?	不明	スパルタ人口構成のグラフX/Yが写真から判別できず
令和5	1	2	2	確	プトレマイオス朝（2番目に記載）
令和5	1	3	3	確	ホルテンシウス法で平民と貴族が法的に平等
令和5	1	4	5	確	ウ(212カラカラ)→ア(293四帝分治)→イ(313ミラノ勅令)、6択は定型順
令和5	1	5	2	確	A正(クローヴィス=アタナシウス派) B誤(カール=マルテルは逆)
令和5	1	6	1	確	A賦役 B貢納
令和5	1	7	4	確	十字軍で地中海商業圏の遠隔地貿易都市が出現
令和5	1	8	6	確	A誤(シャルル7世) B誤(エドワード1世) C正(金印勅書) → Cのみ正
令和5	2	9	4	確	A誤(祭式はバラモン) B誤(カーリダーサはグプタ朝の詩人)
令和5	2	10	2	確	カニシカ王の時代の南インドでサータヴァーハナ朝
令和5	2	11	1	確	ボロブドゥール=シャイレンドラ朝
令和5	2	12	1	確	ア(甲骨・殷)→イ(封建・周)→ウ(鉄製農具・春秋戦国)
令和5	2	13	2	確	郡県制の全国施行は前221年の統一直後
令和5	2	14	3	確	A均田制 B清談
令和5	2	15	4	確	玄宗期に楊貴妃一族の専横→安禄山の乱
令和5	3	16	3	確	アッシリア崩壊後に新バビロニアがメソポタミアを支配
令和5	3	17	6	確	ウ(アケメネス前550)→イ(パルティア前248)→ア(ササン224)
令和5	3	18	1	確	A預言者 Bメディナに移住して共同体を建設
令和5	3	19	?	不明	略地図のX/Yが判別できず（統治策は「イ」と確定＝②か④）
令和5	3	20	1	確	セルジューク朝の西方のシーア派＝ファーティマ朝
令和5	3	21	2	確	Cベルベル人のイスラーム化 Dカイロ
令和5	3	22	3	確	デリー＝スルタン朝と総称される諸王朝が交替
令和5	4	23	1	確	西夏の初代＝李元昊
令和5	4	24	1	確	A正(金が開封占領→南宋) B正(長江下流が穀倉地帯)
令和5	4	25	2	推	史料は駅伝制→ア、元の記述はY(交鈔濫発→紅巾の乱)。イの語がOCRで欠落
令和5	4	26	2	確	ア(鄭和1405)→ウ(張居正1570s)→イ(李自成1640s)
令和5	4	27	3	確	丁税が土地税に繰り込まれる＝地丁銀
令和5	4	28	4	確	円明園の設計に加わった宣教師＝カスティリオーネ
令和5	4	29	?	不明	略地図のX/Yが判別できず（編纂物は「四庫全書」＝ア と確定＝①か③）
令和5	5	30	3	確	遠隔地貿易の中心が地中海から大西洋へ（商業革命）
令和5	5	31	2	確	ヘンリ8世＝国王至上法
令和5	5	32	1	確	アンリ4世＝ナントの王令
令和5	5	33	2	確	Aハプスブルク Bカール5世（カルロス1世）
令和5	5	34	4	確	イ(航海法1651→英蘭1652)→ウ(名誉革命1689)→ア(ウォルポール1721)
令和5	5	35	4	確	A誤(オーストリア継承戦争) B誤(同盟した相手はフランス)
令和5	5	36	1	確	イギリス＝マドラス
令和5	6	37	3	確	適切でないもの＝「封建的特権の廃止により土地を失った農民」（実際は囲い込み）
令和5	6	38	3	確	イ(ジェファソン)-X(ロックの抵抗権)
令和5	6	39	2	確	立法議会でジロンド派がオーストリアに宣戦
令和5	6	40	4	確	スペインの立憲革命（他は地域が入れ替え）
令和5	6	41	1	確	A正(サン=ステファノ条約) B正(イタリア王国成立)
令和5	6	42	4	確	第1インターナショナルは「自由主義者」ではない
令和5	6	43	?	不明	図版X/写真Yの中身が判別できず
令和5	7	44	4	確	ノヴゴロド国＝リューリク
令和5	7	45	1	確	bキエフ公国 dバトゥのモンゴル軍の支配下
令和5	7	46	4	確	適切でない＝「セリム1世が滅ぼした」（実際はメフメト2世）
令和5	7	47	?	不明	略地図のX/Yが判別できず（敵国は「スウェーデン」＝イ と確定＝②か④）
令和5	7	48	1	確	プラッシーの戦い（1757）
令和5	7	49	3	確	A誤(ポーランド分割はエカチェリーナ2世) B正(神聖同盟)
令和5	7	50	2	確	適切でない＝ライプツィヒの戦いは19世紀前半
令和5	8	51	2	確	aミドハト=パシャ bシパーヒーの大反乱
令和5	8	52	3	確	アヘン戦争の講和＝南京条約
令和5	8	53	1	確	Aヴィルヘルム2世 Bスペイン
令和5	8	54	2	確	無制限潜水艦作戦を機にアメリカが参戦
令和5	8	55	4	確	A誤(ムスタファ=ケマル) B誤(五・三〇運動)
令和5	8	56	1	確	適切でない＝独ソ不可侵条約の直後の侵攻先はポーランド
令和5	8	57	?	不明	略地図のX/Yが判別できず（説明は「イ」＝朝鮮戦争 と確定＝②か④）
令和6	1	1	4	確	適切でない＝シドン（フェニキア人の都市）
令和6	1	2	1	確	bアッカド人 cアムル人
令和6	1	3	1	確	A正(身分で刑罰が異なる) B正(ヒッタイトが滅ぼした)
令和6	1	4	3	確	イ(ヘロドトス)-X(ペルシア戦争の『歴史』)
令和6	1	5	3	推	fメンフィス hクシュ（2×2格子の並びから推定）
令和6	1	6	1	確	適切でない＝ジッグラトはメソポタミアの建造物
令和6	1	7	?	不明	地図のX/Yが判別できず（記述は「ア」＝コムーネ と確定＝①か③）
令和6	1	8	1	確	jエジプト＝統一・安定が長い kメソポタミア＝興亡が多い
令和6	1	9	4	推	A誤(マグナカルタはイギリス) B誤(ボローニャ大学はイタリア)
令和6	2	10	2	推	a甲骨文字 b周（2×2格子の並びから推定）
令和6	2	11	3	確	c世襲の諸侯に封土 d地方分権的な
令和6	2	12	?	不明	貨幣の写真X/Yが判別できず
令和6	2	13	4	推	下線部の時期（前3世紀）に合うのはアショーカ王の仏典結集
令和6	2	14	2	推	ア(劉邦)-Y(タリム盆地まで勢力拡大)。選択肢の並びがOCRで崩れており推定
令和6	2	15	?	不明	地図上の都市の位置が判別できず
令和6	2	16	1	確	j冒頓単于 k呉楚七国の乱
令和6	2	17	2	確	適切でない＝半両銭は秦（武帝は五銖銭）
令和6	3	18	4	推	マムルーク朝の都＝カイロ（記載順4番目。丸数字はOCRで崩れ）
令和6	3	19	3	確	適切でない＝『集史』はイル=ハン国のラシード=アッディーン
令和6	3	20	3	確	cダウ船 d東南アジアから香辛料を輸入
令和6	3	21	2	確	e商人と結託して利潤 fワクフ
令和6	3	22	4	推	下線部はナスル朝と判断（他3つはセルジューク朝の事実で全て正しくなる）
令和6	3	23	?	不明	アルハンブラ宮殿の写真X/Yが判別できず（都市は「グラナダ」＝ア と確定＝①か②）
令和6	3	24	1	確	iレコンキスタ kミッレト
令和6	3	25	2	確	適切でない＝バヤジット1世はアンカラの戦いで敗北
令和6	4	26	3	推	適切でない＝カラキタイ（西遼、12世紀）。丸数字がOCRで崩れ位置も不確か
令和6	4	27	2	確	b趙匡胤 c文治主義
令和6	4	28	2	確	適切でない＝燕雲十六州で対立したのは遼と宋
令和6	4	29	3	推	eクリルタイ f千戸制（2×2格子の並びから推定）
